patient	LMPP	MEP	HSC	ProgDC	Mono	GMP	cDC2	pDC
15-00045	0.0952535149492757	0.0756634725382606	0.158952362120837	0.0406299505823178	0.38916421055851	0.201929074816699	0.0384074144340996	0
15-00051	0.710438234704963	0.0530408552388034	0	0	0.00948343769182416	0.173160034187507	0.0406792421392554	0.0131981960376463
15-00057	0.132210761755403	0.372360501211756	0.307501178885326	0	0.155136110057536	0.0133619195075643	0.00387155324554921	0.0155579753368663
15-00075	0.0701083712509945	0.492854333940923	0.348707808409577	0.0403795848881957	0.0272330020865199	0.0109789328811544	0	0.00973796654263578
15-00084	0.0650485212875886	0.0962357783350005	0.226672457577213	0.0880025354475252	0.345976177575595	0.178064529777078	0	0
15-00123	0.529240175192188	0.139885597627812	0.157064406194513	0.00187640707358548	0.0316287000302406	0.0973761634437473	0.0278685595042279	0.0150599909336857
15-00147	0.14485837385938	0.513782010095188	0.311844904114779	0.00858798053478486	0.00924061891146529	0.00634528057653283	0	0.00534083190786943
15-00169	0.0766770731354037	0.253947928533377	0.121127635401718	0.0610904297608261	0.193672036243927	0.28829455822085	0	0.00519033870389792
15-00171	0.343977677441614	0.0160228778211809	0.445597959991995	0.0995181213650381	0.0650148288863832	0.00944650764531757	0	0.0204220268484713
15-00175	0.18618353139145	0.0732902735424057	0.619809992155564	0.0716811145010587	0.0292047048885893	0.00493838690310038	0.00322099129892832	0.0116710053189039
15-00237	0.578976866910935	0.0722856383100143	0.143460392555469	0.0464509070048667	0.0185028570607391	0.0932633521501351	0.0350048358001232	0.0120551502077175
15-00248	0.445307475090873	0.276990072651184	0	0.0408809276871008	0.0463819674780548	0.0604734229733457	0.113143166931275	0.0168229671881657
15-00261	0.169897733197275	0.0989746801009042	0.385404417380258	0	0.0956239131362291	0	0.244014139068953	0.00608511711638016
15-00269	0.353319582857895	0.212930896019633	0.173639471488568	0.0223233988791018	0.14493949469379	0.0713912088431526	0	0.0214559472178589
15-00275	0.0122466417805983	0.332662192884834	0.0976081464390763	0.0207391391577043	0.444987589172948	0.0666330486042641	0	0.0251232419605755
15-00276	0.338655476481441	0.103931517583076	0.108138937852506	0.0539465859381777	0.1861602247388	0.110341513421869	0.0941873206972019	0.00463842328692794
15-00279	0.0991110495248678	0.0306743312699421	0.000604046168639979	0	0.548980933129721	0	0.320629639906829	0
15-00287	0.402238275157539	0.163225788993249	0.273573813506397	0.0389082440560924	0.076283904494043	0.00869625890053733	0.0229841203817209	0.0140895945104217
15-00296	0.150150171834473	0.0718903397989403	0	0.0627151533191135	0	0.22785109409303	0.486868362559196	0.000524878395246898
15-00300	0.0575155017260624	0.443017653928094	0.0930750772623701	0.0298638409978491	0.242405971211344	0.130365934239678	0	0.00375602063460237
15-00302	0.474209647796479	0.0751345964599829	0	0.0337782020676774	0.029175290564896	0.362147188059416	0	0.025555075051548
15-00371	0.108660148489598	0.209145566402036	0.119505910657863	0.0697843321110965	0.211144072341279	0.278351092532257	0	0.00340887746586997
15-00377	0.462445976335383	0.196560965852478	0.107905281984058	0.048507417317894	0.0847161864606911	0.0945771210864083	0.00528705096308805	0
15-00383	0.091051647408607	0.138296540613768	0.18877194361647	0.048883606882355	0.171160717961338	0.350743505910791	0	0.011092037606672
15-00417	0.237791980540364	0.144149141274087	0.183893482117842	0	0.0555023773439181	0.336775041614108	0.0165730757434556	0.0253149013662255
15-00464	0.0466601710247889	0.268593280315946	0.327827701642696	0.0913974550250515	0.143486527853601	0.114526401121393	0	0.00750846301652392
15-00471	0.441610882965298	0.199483845380008	0.208929310439863	0.00463578578576337	0.0656544074167678	0.0102211483006807	0.0620901952440629	0.00737442446755628
15-00482	0.52473978516872	0.167252887999053	0.0587603517396545	0.0090247260792738	0.0394951618169875	0.0799833404102259	0.112499073183506	0.0082446736025797
15-00534	0.092119870962864	0.073479560323634	0.0571259054824712	0.0913295684819503	0.152061098565811	0.521898001822354	0	0.0119859943609161
15-00539	0.045197874218986	0.0181652654516236	0.320524008615266	0.0416635774438646	0.525096896432349	0.00970567517598038	0	0.0396467026619307
15-00556	0.430144365588088	0.182643894279399	0.224971063541024	0.0606805600794006	0.0335424253429686	0.0508938822721991	0	0.0171238088969209
15-00559	0.117705839872997	0.123202638949485	0.307417838332971	0.05663144800768	0.286821622390454	0.0832478139909058	0	0.0249727984555069
15-00563	0.222691866774808	0.0377653145763675	0	0.0902964712196454	0	0.00405188663067491	0.643035310523298	0.00215915027520631
15-00578	0.245420113533158	0.0276163468977309	0	0.152531569847147	0	0	0.573523873242686	0.000908096479277268
15-00593	0.365714283961046	0.15321206216543	0.238413218207799	0.0257468693878248	0.0960244383410259	0.0979460078085953	0.0128725113010053	0.0100706088272751
15-00608	0.0698847061107607	0.391925677621964	0.478223053065265	0.00784201795740384	0.0321452602578073	0.00198869631240431	0	0.0179905886743949
